"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2019","2,233.45","2,221.10","2,233.45","2,212.88","449.63M","0.41%"
"Apr 11, 2019","2,224.44","2,227.69","2,230.41","2,217.18","402.02M","0.00%"
"Apr 10, 2019","2,224.39","2,206.20","2,225.02","2,203.82","399.69M","0.49%"
"Apr 09, 2019","2,213.56","2,212.32","2,221.62","2,203.54","414.81M","0.13%"
"Apr 08, 2019","2,210.60","2,217.66","2,217.87","2,202.49","347.91M","0.04%"
"Apr 05, 2019","2,209.61","2,206.36","2,214.82","2,205.26","517.15M","0.14%"
"Apr 04, 2019","2,206.53","2,201.04","2,216.15","2,198.66","431.01M","0.15%"
"Apr 03, 2019","2,203.27","2,176.81","2,203.29","2,172.83","358.64M","1.20%"
"Apr 02, 2019","2,177.18","2,177.20","2,181.37","2,171.84","257.45M","0.41%"
"Apr 01, 2019","2,168.28","2,153.31","2,171.49","2,153.31","263.31M","1.29%"
"Mar 29, 2019","2,140.67","2,138.45","2,143.30","2,124.07","364.62M","0.59%"
"Mar 28, 2019","2,128.10","2,131.25","2,136.40","2,120.93","288.04M","-0.82%"
"Mar 27, 2019","2,145.62","2,147.19","2,152.91","2,132.42","363.17M","-0.15%"
"Mar 26, 2019","2,148.80","2,152.98","2,153.90","2,143.63","301.25M","0.18%"
"Mar 25, 2019","2,144.86","2,158.80","2,159.25","2,143.70","307.07M","-1.92%"
"Mar 22, 2019","2,186.95","2,192.72","2,195.42","2,178.77","333.62M","0.09%"
"Mar 21, 2019","2,184.88","2,183.11","2,200.32","2,173.70","342.75M","0.36%"
"Mar 20, 2019","2,177.10","2,171.41","2,177.19","2,152.21","317.61M","-0.02%"
"Mar 19, 2019","2,177.62","2,183.03","2,183.76","2,171.05","319.70M","-0.09%"
"Mar 18, 2019","2,179.49","2,179.69","2,183.90","2,172.34","257.95M","0.16%"
"Mar 15, 2019","2,176.11","2,152.96","2,181.77","2,152.59","387.14M","0.95%"
"Mar 14, 2019","2,155.68","2,154.35","2,158.34","2,142.31","341.01M","0.34%"
"Mar 13, 2019","2,148.41","2,152.66","2,154.11","2,134.16","285.60M","-0.41%"
"Mar 12, 2019","2,157.18","2,154.61","2,161.69","2,150.96","355.28M","0.89%"
"Mar 11, 2019","2,138.10","2,140.29","2,145.31","2,125.54","272.10M","0.03%"
"Mar 08, 2019","2,137.44","2,152.80","2,159.67","2,137.44","313.31M","-1.31%"
"Mar 07, 2019","2,165.79","2,173.19","2,181.19","2,155.19","292.58M","-0.45%"
"Mar 06, 2019","2,175.60","2,177.11","2,179.01","2,168.46","328.94M","-0.17%"
"Mar 05, 2019","2,179.23","2,183.35","2,185.74","2,171.33","313.14M","-0.52%"
"Mar 04, 2019","2,190.66","2,210.97","2,216.02","2,188.56","373.17M","-0.22%"
"Feb 28, 2019","2,195.44","2,231.58","2,233.93","2,195.44","510.02M","-1.76%"
"Feb 27, 2019","2,234.79","2,234.46","2,237.77","2,228.16","301.51M","0.37%"
"Feb 26, 2019","2,226.60","2,230.37","2,235.70","2,221.76","331.96M","-0.27%"
"Feb 25, 2019","2,232.56","2,241.13","2,241.76","2,224.64","339.23M","0.09%"
"Feb 22, 2019","2,230.50","2,222.32","2,230.50","2,217.08","409.31M","0.08%"
"Feb 21, 2019","2,228.66","2,224.26","2,234.31","2,213.19","382.51M","-0.05%"
"Feb 20, 2019","2,229.76","2,216.74","2,234.68","2,213.83","374.34M","1.09%"
"Feb 19, 2019","2,205.63","2,208.96","2,213.87","2,193.34","389.09M","-0.24%"
"Feb 18, 2019","2,210.89","2,207.36","2,217.32","2,203.00","314.37M","0.67%"
"Feb 15, 2019","2,196.09","2,210.94","2,210.94","2,187.71","400.59M","-1.34%"
"Feb 14, 2019","2,225.85","2,195.92","2,225.85","2,186.09","573.36M","1.11%"
"Feb 13, 2019","2,201.48","2,200.00","2,203.71","2,194.75","421.99M","0.50%"
"Feb 12, 2019","2,190.47","2,182.71","2,195.05","2,178.59","429.94M","0.45%"
"Feb 11, 2019","2,180.73","2,180.54","2,181.58","2,167.36","406.06M","0.17%"
"Feb 08, 2019","2,177.05","2,192.01","2,192.48","2,171.96","391.03M","-1.20%"
"Feb 07, 2019","2,203.42","2,215.77","2,215.79","2,196.77","427.84M","-0.00%"
"Feb 01, 2019","2,203.46","2,211.93","2,218.78","2,201.41","479.38M","-0.06%"
"Jan 31, 2019","2,204.85","2,222.88","2,222.88","2,201.22","545.25M","-0.06%"
"Jan 30, 2019","2,206.20","2,183.49","2,206.20","2,177.88","480.39M","1.05%"
"Jan 29, 2019","2,183.36","2,172.83","2,183.36","2,162.53","552.59M","0.28%"
"Jan 28, 2019","2,177.30","2,184.41","2,188.15","2,169.17","371.62M","-0.02%"
"Jan 25, 2019","2,177.73","2,147.92","2,178.01","2,146.64","410.00M","1.52%"
"Jan 24, 2019","2,145.03","2,127.88","2,145.08","2,125.48","413.65M","0.81%"
"Jan 23, 2019","2,127.78","2,108.72","2,131.05","2,106.74","408.60M","0.47%"
"Jan 22, 2019","2,117.77","2,126.03","2,129.37","2,108.91","419.44M","-0.32%"
"Jan 21, 2019","2,124.61","2,133.87","2,134.17","2,114.45","398.03M","0.02%"
"Jan 18, 2019","2,124.28","2,116.43","2,124.50","2,113.44","456.74M","0.82%"
"Jan 17, 2019","2,107.06","2,110.14","2,117.43","2,101.70","475.88M","0.05%"
"Jan 16, 2019","2,106.10","2,098.65","2,106.35","2,091.92","500.08M","0.43%"
"Jan 15, 2019","2,097.18","2,069.14","2,098.01","2,067.58","439.49M","1.58%"
"Jan 14, 2019","2,064.52","2,070.49","2,073.94","2,059.46","432.89M","-0.53%"
"Jan 11, 2019","2,075.57","2,070.36","2,076.99","2,063.99","380.06M","0.60%"
"Jan 10, 2019","2,063.28","2,065.73","2,072.81","2,057.16","382.88M","-0.07%"
"Jan 09, 2019","2,064.71","2,034.19","2,068.23","2,034.19","386.25M","1.95%"
"Jan 08, 2019","2,025.27","2,038.68","2,042.70","2,023.59","397.83M","-0.58%"
"Jan 07, 2019","2,037.10","2,034.24","2,048.06","2,030.90","440.19M","1.34%"
"Jan 04, 2019","2,010.25","1,992.40","2,011.56","1,984.53","408.99M","0.83%"
"Jan 03, 2019","1,993.70","2,011.81","2,014.72","1,991.65","427.98M","-0.81%"
"Jan 02, 2019","2,010.00","2,050.55","2,053.45","2,004.27","326.37M","-1.52%"
